ccnum,charname,survived,website,Verified twitter
1100000,Opera at Bearwood,1,http://www.operaatbearwood.org.uk,operaatbearwood
309939,The Institute of Grocery Distribution,1,http://www.igd.com,retailanalysis
1000000,Un Women United Kingdom National Committee,0,.,unwomenuk
1000000,The Basingstoke and Alton Cardiac Rehabilitation Charity Limited,1,http://www.cardiac-rehab.co.uk,rehab_cardiac
1100000,Milton Keynes YMCA Limited,1,http://www.mkymca.com,mkymca
313364,Field Studies Council,1,http://www.field-studies-council.org,fieldstudiesc
519332,Mental Health Concern,1,http://www.mentalhealthconcern.org,mh_concern
1000000,Bradford Disability Sport and Leisure,1,http://www.bradforddisabilitysports.co.uk,bradfordcharity
1100000,Kingdom Builders Family,1,http://www.rccgkbf.org.uk,kbfcinc
1100000,Sandwell Mind,1,http://www.kaleidoscopeplus.org.uk,kaleidoscope_pg
1000000,The Naz Project(london),1,http://www.naz.org.uk,nazprojectldn
1000000,Research Institute for Consumer Affairs,1,http://www.ridc.org.uk,ricauk
272279,The Monteverdi Choir and Orchestra Limited,1,http://www.monteverdi.co.uk,mco_london
1100000,Reprieve,1,http://www.reprieve.org.uk,reprieve
1100000,Northamptonshire Carers,1,http://www.northamptonshire-carers.org,northantscarers
302925,The London Playing Fields Society,1,http://www.lpff.org.uk,thelpff
296229,Brent Bereavement Services,1,.,bbsonline
1000000,South Thames Crossroads - Caring for Carers Limited,1,http://www.helpforcarers.org.uk,care4thecarers
1000000,The Chartered Institute of Purchasing and Supply,1,http://www.cips.org,cipsnews
281074,HCPT - the Pilgrimage Trust,1,http://www.hcpt.org.uk,hcpt
1100000,Azafady,1,http://www.madagascar.co.uk,azafady
243312,The Landmark Trust,1,http://www.landmarktrust.org.uk,landmarktrust
1000000,Chawton House Library,1,http://www.chawtonhouse.org,chawtonhouse
1000000,British Friends of Rambam Medical Centre,1,http://www.rambamuk.co.uk,rambamuk
272056,The Friends of the V & a,1,http://www.vam.ac.uk,v_and_a
1100000,Homeless Link,1,http://www.homeless.org.uk,homelesslink
1100000,Medasset,1,http://www.medasset.org,medasset
1000000,1st Solihull Scout Group,1,http://www.1stsolihull.org.uk,1stsolihull
290511,National Energy Action,1,http://www.nea.org.uk,nea_ukcharity
219279,The Royal British Legion,1,http://www.britishlegion.org.uk,poppylegion
1100000,Campaign for Better Transport Charitable Trust,1,http://www.bettertransport.org.uk,cbtransport
1100000,Women's Resource Centre,1,http://www.wrc.org.uk,whywomen
211091,Together Working for Wellbeing,1,http://www.together-uk.org,togethermw
1100000,The Learning Curve Voluntary Sector Development,1,http://www.learningcurve.org.uk,learningcurve2
1100000,Wjec Cbac Limited,1,http://www.wjec.co.uk,wjec_cbac
1100000,The Worstead Village Festival,1,http://www.worsteadfestival.org,worsteadfest
1000000,Hospice at Home - Gwynedd and Anglesey,1,http://www.hospiceathomega.co.uk,hospiceathomega
1100000,Off the Record (South East Hampshire),1,http://www.otr-south.org.uk,offtherecordse
513727,Riverside Foundation,1,http://www.riverside.org.uk/riversidefoundation,riverside76
1000000,The Salvation Army International Trust,1,http://www.salvationarmy.org,salvationarmyuk
1000000,FRG Ltd,1,http://www.frg.org.uk,familyrightsgp
1100000,Bid Services,1,http://www.bid.org.uk,bidservices
1100000,Nottinghamshire Community Foundation,1,http://www.nottscf.org.uk,nottscommf
1000000,The Julia Margaret Cameron Trust,1,http://www.dimbola.co.uk,dimbolamuseum
1100000,The Metanoia Institute,1,http://www.metanoia.ac.uk,metanoia_inst
234993,Maddermarket Theatre Trust Limited,1,http://www.maddermarket.co.uk,maddermarket
1000000,Menter CWM Gwendraeth Cyfyngedig,1,http://www.mentercwmgwendraethorg.uk,mentercge
1000000,Cardboard Citizens,1,http://www.cardboardcitizens.org.uk,cardboardcitz
702344,Harrogate and Nidderdale District Scout Council,1,http://www.harrogatescouts.co.uk,harrogatescouts
1100000,Anchor Trust,1,http://www.anchor.org.uk,anchor_trust
207812,Elizabeth Finn Care,1,http://www.turn2us.org.uk,elizfinncare
305962,The Army Cadet Force Association,1,http://www.armycadets.com/acfa,armycadetsuk
1100000,The Eden Trust,1,http://www.edenproject.com,edenproject
1100000,Spear Housing Association Limited,1,http://www.spearlondon.org,spearlondon
1100000,East End Citizens' Advice Bureaux,1,http://www.eastendcab.org.uk,eastend_cab
1100000,Caring for Cats,0,.,caring4cats
296079,The Privy Purse Charitable Trust,1,.,purgatorya
1100000,Teen Challenge London,1,http://www.tclondon.org.uk,tclondonuk
226063,The Marine Biological Association of the United Kingdom,0,.,thembauk
1100000,Christians Against Poverty,1,http://www.capuk.org,capuk
509060,York Archaeological Trust for Excavation and Research Limited,1,http://www.yorkarchaeology.co.uk,yatnews
1100000,People for the Ethical Treatment of Animals (Peta) Foundation,1,.,peta
1100000,Sheffield Wednesday Football Club Community Programme,1,http://www.swfccp.co.uk,swfccp
206186,The National Society for Epilepsy,1,http://www.epilepsysociety.org.uk,epilepsysociety
281936,The I T F Seafarers Trust,1,http://www.seafarerstrust.org,seafarers_trust
1100000,The Gas Safety Trust,1,http://www.gas-safety-trust.org.uk,gassafetytrust
1100000,Save China's Tigers,1,http://www.savechinastigers.org,savechinatiger
802888,Godalming Operatic Society,1,http://www.godalmingoperatic.org.uk/,gosgodalming
1100000,Substitute Families for Abandoned Children,1,http://www.sfac.org.uk,sfac_uk
204609,The Three Choirs Festival Association Ltd,1,http://www.3choirs.org,3choirs
202918,Oxfam,1,http://www.oxfam.org.uk,oxfamgb
1100000,The Appledore Book Festival,0,.,appledorebkfest
1100000,The Goldsmiths Centre,1,http://www.goldsmiths-centre.org,gsmithscentre
1100000,Knowsley Domestic Violence Support Service,1,http://www.thefirststep.org.uk,firststep0015
1100000,The Families in British India Society,1,http://www.fibis.org,fibiswebmaster
1100000,Press Relief-the News Community Fund,0,.,cn_pressrelief
267116,Porchlight,1,http://www.porchlight.org.uk,porchlight1974
522458,124th Nottingham Scout Group,1,http://www.124thnottinghamscouts.org.uk,124thnottmscout
226227,The Royal National Institute of Blind People,1,http://www.rnib.org.uk,rnib
1000000,Friends of the African International Christian Ministry,1,http://www.aicm.org.uk,aicmuk
1100000,Oxfordshire Community and Voluntary Action,1,http://www.ocva.org.uk,_ocva
508753,Clifton Community Association,1,.,cliftonvca
239863,The Hertfordshire and Middlesex Wildlife Trust Limited,1,http://www.hertswildlifetrust.org.uk,hmwtbadger
1100000,City of Hull and Humber Environment Forum (Chef),1,.,greenhumber
1100000,Museum of British Road Transport Trust (Coventry) Limited,0,.,covtm
1100000,Cornwall Care Limited,1,http://www.cornwallcare.com,thecornwallcare
328463,The Salters' Institute of Industrial Chemistry,1,http://www.saltersinstitute.co.uk,salters_inst
1100000,The Land Restoration Trust,1,http://www.thelandtrust.org.uk,thelandtrust
1000000,Rainforest Concern,1,http://www.rainforestconcern.org,rainforestconce
1100000,Scarborough Museums Trust,1,http://www.scarboroughmuseumstrust.org.uk,smtrust
1000000,The Fairtrade Foundation,1,http://www.fairtrade.org.uk,fairtradeuk
1100000,Helena Partnerships Limited,0,.,helenapartnersh
326374,The British Blood Transfusion Society,1,http://www.bbts.org.uk,britishbloodts
288141,The Hampshire Autistic Society,1,http://www.autismhampshire.org.uk,hampshireautism
232265,"Rspca  Sunderland, Hartlepool & South Tyneside Branch",1,http://www.rspca-sunderland.org.uk,shstrspca
1100000,Carers Federation Ltd,1,http://www.carersfederation.co.uk,carersfed
1100000,The Emery Walker Trust,0,.,emerywalker_org
1100000,Worldshapers,0,.,worldshapers
1100000,Coquet Trust,1,http://www.coquettrust.co.uk,coquettrust
1100000,Hope 4 Kidz,1,http://www.hope4kidz.org.uk,hope4kidzorg
1100000,Southampton Choral Society,1,http://www.southamptonchoralsociety.org.uk,sotonchoralsoc
1100000,Steps to Work (Walsall) Limited,1,http://www.stepstowork.co.uk,stepstowork
327986,Childflight,1,http://www.childflight.co.uk,childflight
1100000,Luton Cultural Services Trust,1,http://www.lutonculture.com,lutonculture
1100000,Learning and Skills Improvement Service,0,.,lsis_updates
1100000,Web Science Trust,1,http://www.webscience.org,websciencetrust
1000000,Round Table Charitable Trust Fund,1,http://WWW.KENILWORTHROUNDTABLE.COM,roundtablebi
1000000,Trinity Hospice,1,http://www.royaltrinityhospice.london,trinity_hospice
1100000,Down Syndrome Education International,1,http://www.dseinternational.org,dseint
1100000,Edberts House,1,http://www.edbertshouse.org,edbertshouse
1100000,Setpoint London East,1,http://www.setpointle.org,soanescentresle
287785,The Shaw Trust Limited,1,http://www.shaw-trust.org.uk,shawtrust
1100000,UK Cat Consortium,1,http://www.ukcat.ac.uk,ukcatest
1100000,Herne Bay Pier Trust,1,http://hernebaypier.org,hernebaypier
